id,post-id,comment,"created at"
5663,430,"Nice and  good","2016-03-17 08:21:38"
5791,430,"I had great difficulty with the process of calling . the voice system is not good for some. clear choices with numbers works better the dumb machine does not recognize my dialect of English. I had trouble getting to this to make a comment on that situation I'd have used pen and paper and the U","2016-03-17 16:34:10"
5792,430,"and the US mail except bank america and interfacing thru computers to me has been a hassle/aggravation every time so far.","2016-03-17 16:37:25"
5664,431,"Just wanted to say thank you!  Got a call today about charges I didn't even notice on our account.  Appreciate the help keeping a look out for odd/fraudulent charges.","2016-03-17 00:56:29"
5665,431,"HI

Can a proof of address, valid passport and $40 open a savings account?","2016-03-16 21:05:01"
5666,431,"Love the professionalism, attention to detail and CARE!","2016-03-17 00:58:52"
5667,432,great,"2016-03-16 14:06:27"
5668,432,"Wow that's great","2016-03-16 12:22:12"
5669,432,Run!!!,"2016-03-16 03:00:36"
5670,432,"Very great!","2016-03-17 08:22:04"
5671,432,"Hi I joined this bank and I need help... Add me if you don't mind questions lol...","2016-03-17 10:28:11"
5672,433,"Bank of America what is the Form 1040EZ never heard bout this before.","2016-03-15 03:40:32"
5673,433,:),"2016-03-15 18:18:48"
5674,434,"Happy Pi Day!","2016-03-15 01:18:52"
5675,434,"Ah strawberries my favorite.","2016-03-15 00:55:47"
5676,435,"I love banking with them :)","2016-03-15 11:37:52"
5677,435,"Hello!we all need a Bank of America here in El paso tx  by Edgemere and zaragoza street please zip code is 79938 or an ATM THANK YOU SO MUCH:)","2016-03-14 20:37:16"
5678,435,"i enjoyed banking with bank of America you have the best service","2016-03-15 02:13:15"
5679,435,"Yep Yep! Happy Spring!","2016-03-15 01:20:40"
5680,435,"A very wonderful banking,I enjoyed them too","2016-03-16 16:55:14"
5681,435,"Ohh yes","2016-03-16 13:34:28"
5682,435,"I  like it.","2016-03-16 15:03:52"
5683,435,"I like it","2016-03-15 07:41:53"
5684,436,Yea,"2016-03-14 04:45:31"
5685,437,Waooo,"2016-03-14 13:28:52"
5686,437,Great!!!!!!!!,"2016-03-14 14:19:31"
5687,438,"what is financial consultant bank of america email please","2016-03-11 23:02:22"
5688,438,"I just found out my local BofA is scheduled to close it's doors in July as part of a bunch of branches being downsized.  My family will be closing all of our accounts in the near future.  Some of them are over 30 years old.  The internet may work great for most things but I won't bank with someone that I can't look in the eye when I need to.

Good luck with your layoffs.","2016-03-12 00:21:10"
5689,438,"I use to love Bank of America but now I have not one good thing to say about them. #CustomerServiceSucks","2016-03-17 12:34:57"
5690,438,"Hola soy de venezuela y viajare a los estados unidos a finales de mayo aproximadamente por unos 20 dias, y quisiera saber si es posible yo abrir una cuenta bancaria en bank of america? yo actuamente trabajo como freelance por internet con una empresa que esta en europa y mis pagos son en dolares y los recibo por un procesador online de pagos llamado payoneer, y me gustaria mejor recibir mis pagos como freelance en una cuenta bancaria en bank of america, quisiera saber si es posible y que requisitos debe tener ya que soy extranjero no residente, tambien tengo un familiar que si es residente en usa es quien visitare en mi viaje en mayo y no se si eso me podria ayudar para abrir mi cuenta bancaria, debe me gustaria que me ayudaran para aprovechar mi viaje y hacer todo eso espero respuestas saludos!","2016-03-12 03:09:16"
5691,438,"The bank is horrible. They should close  .","2016-03-16 01:52:57"
5692,438,"is this  to help you come up with a budget?","2016-03-16 00:27:22"
5693,438,"No entiendo el idioma pero avansa confiado jajaja","2016-03-11 22:55:09"
5694,438,"muy bueno","2016-03-12 07:24:28"
