id,post,"created at"
53,"The adult literacy rate has risen to 85% from 76% in 1990, yet women account for over half of those who can&#39;t read and write. Almost half of the women in the least developed countries are illiterate.<br /><br />Equal access to education means more literate women worldwide. Check out UN Women&#39;s infographic on progress and challenges of women&#39;s rights: <a href=""http://ow.ly/YIzaE"">http://ow.ly/YIzaE</a><br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a>﻿","2016-03-16 02:31:02"
54,"‪#‎MyBiosphere‬: The ","2016-03-15 19:33:08"
55,"Girls today demand self-direction, freedom and opportunities, and YOU should listen!<br /><br />When equipped with skills and opportunities and enjoy safety and dignity, adolescent girls can more fully contribute to social stability, development and economic growth.<br /><br />As educated mothers or confident women without children, they will invest in the survival, education and success of the next generation. As leaders of both today and tomorrow, girls will be a force for social cohesion, progress and peace!<br /><br />More from <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/115546691377277073548"" oid=""115546691377277073548"">UNFPA</a></span>  here: <a href=""http://www.unfpa.org/csw"">www.unfpa.org/csw</a><br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23CSW60"">#CSW60</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23LetGirlsLearn"">#LetGirlsLearn</a> ﻿","2016-03-15 00:36:02"
56,"Looking back at this past week, Which woman inspires you ?<br /><br /><a href=""http://ow.ly/ZdDMu"">http://ow.ly/ZdDMu</a>﻿","2016-03-14 04:35:13"
57,"UN Peacekeepers from the Ghanaian Battalion of the <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23UnitedNations"">#UnitedNations</a> mission in <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lebanon"">#Lebanon</a> provides medical home care in Al Kawzah, South Lebanon.<br /><br />Last year, more than 55,000 people received treatments from doctors with the UN mission.<br /><br />The UN peace operation in Lebanon works to monitor the cessation of hostilities in the area, and to help ensure <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23humanitarian"">#humanitarian</a> access to civilians and the safe return of displaced people.<br /><br />Peacekeepers carry out &quot;quick impact&quot; projects to re-construct roads, schools and hospitals, improve access to public services such as water and electricity, provide free dentistry, medical and veterinary services and much more.<br /><br />","2016-03-13 20:05:22"
58,"Want to read the Mobile Learning Week interviews again? <br /><br />See here: <a href=""http://ow.ly/ZdDDQ"">http://ow.ly/ZdDDQ</a>﻿","2016-03-13 05:40:19"
59,"Thanks to World Food Programme, kids in Haiti can have nutricious school meals with local products.<br /><br />Here are 10 steps to follow for delicious home-grown school meals: <a href=""http://www.wfp.org/stories/field-table-follow-food-home-grown-school-feeding-10-steps-haiti"">http://www.wfp.org/stories/field-table-follow-food-home-grown-school-feeding-10-steps-haiti</a> <a href=""http://ow.ly/i/hoMcR"">http://ow.ly/i/hoMcR</a> <a href=""http://ow.ly/i/hoMd8"">http://ow.ly/i/hoMd8</a>﻿","2016-03-12 21:05:29"
60,"United Nations Secretary-General Ban Ki-moon has worked toward advancing women&#39;s rights throughout his nearly 10 years in office. See for yourself! <br /><br />Check out the photo slideshow on our ‪#‎GlobalGoals‬ site: <a href=""http://bit.ly/1R3CoS4"">http://bit.ly/1R3CoS4</a> ‪<br /><br />#‎IWD2016‬ ‪#‎Planet5050‬﻿","2016-03-12 05:40:29"
61,"Globally, women earn 24% less than men.<br /><br />It&#39;s time to work together for equal pay.<br /><br />Check out UN Women&#39;s infographic on the progress and challenges of women’s rights: <a href=""http://ow.ly/YIzaE"">http://ow.ly/YIzaE</a><br /><br />‪#‎IWD2016‬ ‪#‎Planet5050‬﻿","2016-03-11 22:02:24"
62,"Here’s a look at what happened five years ago in <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Fukushima"">#Fukushima</a>, Japan, and what has happened since. ﻿","2016-03-11 04:12:59"
63,"NEWS: UNFPA and UNICEF launch a global initiative to protect children from child marriage.<br /><br />Learn more here: <a href=""http://www.unfpa.org/press/new-multi-country-initiative-will-protect-millions-girls-child-marriage-%E2%80%93-unicefunfpa"">http://www.unfpa.org/press/new-multi-country-initiative-will-protect-millions-girls-child-marriage-%E2%80%93-unicefunfpa</a><br /><br />via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/100379471031450585233"" oid=""100379471031450585233"">UNICEF</a></span> <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/105706175854260717244"" oid=""105706175854260717244"">UNFPA</a></span> ﻿","2016-03-10 04:00:34"
64,"On 22 April, world leaders will gather at UN Headquarters in New York to sign the historic Paris Agreement on climate change.<br /><br />The Agreement outlines actions countries will take to move to a low-carbon economy and achieve a sustainable future for our planet and all its people.<br /><br />But what can you do?<br /><br />Recycle, buy local, use water sparingly, take public transport and encourage leaders to sign the Paris Agreement. People across the world are taking climate action. Join them, spread the word and show your support today!<br /><br />Get more ideas for action here: <a href=""http://www.un.org/sustainabledevelopment/takeaction/"">http://www.un.org/sustainabledevelopment/takeaction/</a>﻿","2016-03-09 22:33:05"
65,"The United Nations Postal Administration (UNPA) issued today a set of six commemorative stamps to promote HeForShe – a solidarity movement for gender quality developmed by +unwomen. <br /><br />The new stamps aim at engaging men and boys to be advocates and agents of change for the achievement of gender equality and women&#39;s rights. The campaign encourages them to speak out and take action against inequalities faced by women and girls. Gender equality is not only a women’s issue, it is a human rights issue that affects all of us - women and girls, men and boys. We all benefit socially, politically and economically from gender equality in our everyday lives. When women are empowered, the whole of humanity benefits.   <br /><br />To learn more about the HeForShe campaign, please visit <a href=""http://www.heforshe.org"">www.heforshe.org</a> <br /><br />To learn more about this series of stamps and UNPA, please visit: www.UNstamps.org.﻿","2016-03-09 06:10:35"
66,"In Brazil’s northeast state Pernambuco, an all-female dance troupe performs an Afro-Indigenous dance, traditionally done by men during the nation’s popular annual festival Carnival.<br /><br />Whether in the arts, media or entertainment, women use their art form to change public discourse and shape perceptions on equality.<br /><br />Tuesday is International Women&#39;s Day and people all over the world are taking action to achieve <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a> by 2030.<br /><br />Let us know how YOU are stepping up for gender equality!<br /><br />@unwomen /Lianne Milton<br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23GlobalGoals"">#GlobalGoals</a>﻿","2016-03-09 03:15:42"
67,"Get the balance right! Gender equality in ‪#‎journalism‬! <a href=""http://on.unesco.org/1SsfglO"">http://on.unesco.org/1SsfglO</a> ‪#‎InternationalWomensDay‬ ‪#‎IWD2016‬ ‪#‎WomenMaketheNews‬ ﻿","2016-03-09 01:46:48"
68,"Fact: Gender inequality and high rates of hunger go hand-in-hand.<br /><br />Fact: An increased participation of women in the labour force has positive effects on economic growth, which has positive impacts on food security and nutrition.<br /><br />On International Women&#39;s Day tell us how you are stepping up for gender equality! <br /><br />Via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/108701718585694913647"" oid=""108701718585694913647"">Zero Hunger</a></span> <br /><br /> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23planet5050"">#planet5050</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23zerohunger"">#zerohunger</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23globalgoals"">#globalgoals</a>  ﻿","2016-03-08 22:43:38"
69,"For International Womens Day, check out UN Women&#39;s interactive timeline spotlighting remarkable women throughout history: <a href=""http://ow.ly/YNAH1"">http://ow.ly/YNAH1</a> <br /><br />via +unwomen <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a>﻿","2016-03-08 22:10:52"
70,"Today is International Women&#39;s Day -- a chance step up for gender equality and help achieve Planet 50-50 by 2030!<br /><br />The Global Goals for Sustainable Development aim, by 2030, to end all forms of discrimination and violence against all women and girls everywhere, ensure that girls and boys have access to quality education, ensure women’s full and effective participation and equal opportunities and much more.<br /><br />This Women&#39;s Day, tell us how you are stepping up for gender equality!<br /><br />Get photos, video and more from <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/118032318774774971832"" oid=""118032318774774971832"">UN Women</a></span>  here: <a href=""http://ow.ly/YFmPg"">http://ow.ly/YFmPg</a><br /><br />‪#‎IWD2016‬﻿","2016-03-08 21:50:50"
71,"Ahead of International Women&#39;s Day on 8 March, learn how gender stereotypes hold women and girls back.<br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Planet5050"">#Planet5050</a> means opportunities for all.<br /><br />Learn more here: <a href=""http://ow.ly/YLlna"">http://ow.ly/YLlna</a><br /><br />via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/118032318774774971832"" oid=""118032318774774971832"">UN Women</a></span>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23IWD2016"">#IWD2016</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23planet5050"">#planet5050</a>   <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23globalgoals"">#globalgoals</a>﻿","2016-03-08 05:35:20"
72,"Participate in ‪#‎OurWorldHeritage‬ photo &amp; story ‪#‎contest‬ on ‪#‎Instagram‬! <a href=""http://www.instagram.com/p/BCiJpcqnRIW/"">http://www.instagram.com/p/BCiJpcqnRIW/</a>﻿","2016-03-07 21:59:31"
